,Line,Embryo,mem_pre,mem_post,cyt_pre,cyt_post
0,nwg206,E0,0.1200760006904602,0.1239236444234848,2.6078977584838867,2.5296242237091064
1,nwg206,E1,0.1457094997167587,0.1380999684333801,2.962442398071289,2.921872138977051
2,nwg206,E2,0.0705059841275215,0.0738396421074867,2.992187738418579,2.926879644393921
3,nwg206,E3,0.0558331720530986,0.0633075758814811,2.643064022064209,2.6088874340057373
4,nwg206,E4,0.0411520861089229,0.0465980060398578,2.537677764892578,2.505293846130371
5,sv2061,E0,0.1014759317040443,1.0093313455581665,2.3446450233459477,1.8761024475097656
6,sv2061,E1,0.1759170293807983,0.8847092390060425,1.7996816635131836,1.4184722900390625
7,sv2061,E3,0.1215758696198463,0.8137672543525696,2.420243501663208,1.9682046175003047
8,sv2061,E4,0.1085555329918861,0.7739107608795166,2.5169684886932373,2.133410930633545
9,sv2061,E5,0.1036791652441024,0.8477100729942322,2.176754713058472,1.7758166790008545
10,sv2061,E6,0.1619445830583572,1.1155351400375366,2.515368700027466,2.0351099967956543
11,sv2061,E7,0.1854956895112991,1.1091455221176147,2.3368613719940186,1.8751827478408811
12,sv2061,E8,0.1302197426557541,1.1847748756408691,2.393056869506836,1.8683327436447144
