,Unnamed: 0,Path,EmbryoID,Line,Date,RNAi
116,116,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210428_nwg338_tom4,15,60/03",1619613298,nwg338,210428,wt
169,169,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg400_tom4,15,60/01",1636210841,nwg400,211106,wt
172,172,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg400_tom4,15,60/04",1636211352,nwg400,211106,wt
149,149,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210917_nwg400_tom4,15,60/03",1631869867,nwg400,210917,wt
196,196,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg400_tom4,15,60/01",1636727593,nwg400,211112,wt
168,168,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg400_tom4,15,60/00",1636210635,nwg400,211106,wt
197,197,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg400_tom4,15,60/03",1636728279,nwg400,211112,wt
147,147,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210917_nwg400_tom4,15,60/00",1631869475,nwg400,210917,wt
148,148,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210917_nwg400_tom4,15,60/02",1631869797,nwg400,210917,wt
198,198,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg400_tom4,15,60/04",1636728556,nwg400,211112,wt
171,171,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg400_tom4,15,60/03",1636211058,nwg400,211106,wt
217,217,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/07",1636734504,nwg325bal,211112,wt
184,184,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325bal_tom4,15,60/01",1636216527,nwg325bal,211106,wt
214,214,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/04",1636734321,nwg325bal,211112,wt
186,186,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325bal_tom4,15,60/03",1636217193,nwg325bal,211106,wt
183,183,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325bal_tom4,15,60/00",1636216440,nwg325bal,211106,wt
218,218,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/08",1636734568,nwg325bal,211112,wt
185,185,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325bal_tom4,15,60/02",1636217133,nwg325bal,211106,wt
216,216,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/06",1636734428,nwg325bal,211112,wt
213,213,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/03",1636734164,nwg325bal,211112,wt
215,215,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/05",1636734403,nwg325bal,211112,wt
