,Unnamed: 0,EmbryoID,Position,Membrane signal,Cytoplasmic signal
0,0,0,0,54.591003,-6.3675065
1,1,0,1,35.40902,-6.3675065
2,2,0,2,-19.776445,-6.3675065
3,3,0,3,-19.776447,-6.3675065
4,4,0,4,-19.776447,-6.3675065
5,5,0,5,-19.776447,-6.3675065
6,6,0,6,-19.776447,-6.3675065
7,7,0,7,-19.776447,-6.3675065
8,8,0,8,-19.776447,-6.3675065
9,9,0,9,-19.776447,-6.3675065
10,10,0,10,20.615753,-6.3675065
11,11,0,11,398.52298,-6.3675065
12,12,0,12,-19.776447,-6.3675065
13,13,0,13,-19.776445,-6.3675065
14,14,0,14,-19.776445,-6.3675065
15,15,0,15,-19.776447,-6.3675065
16,16,0,16,-19.776447,-6.3675065
17,17,0,17,-19.776445,-6.3675065
18,18,0,18,-19.776445,-6.3675065
19,19,0,19,-19.776447,-6.3675065
20,20,0,20,-19.776445,-6.3675065
21,21,0,21,-19.776445,-6.3675065
22,22,0,22,-19.776445,-6.3675065
23,23,0,23,-19.776445,-6.3675065
24,24,0,24,-19.776447,-6.3675065
25,25,0,25,-19.776445,-6.3675065
26,26,0,26,-19.776445,-6.3675065
27,27,0,27,-19.776445,-6.3675065
28,28,0,28,-19.776447,-6.3675065
29,29,0,29,-19.776447,-6.3675065
30,30,0,30,319.5371,-6.3675065
31,31,0,31,-19.776447,-6.3675065
32,32,0,32,-19.776445,-6.3675065
33,33,0,33,-19.776445,-6.3675065
34,34,0,34,-19.776447,-6.3675065
35,35,0,35,-19.776447,-6.3675065
36,36,0,36,-19.776445,-6.3675065
37,37,0,37,-19.776445,-6.3675065
38,38,0,38,-19.776445,-6.3675065
39,39,0,39,-19.776447,-6.3675065
40,40,0,40,-19.776447,-6.3675065
41,41,0,41,-19.776445,-6.3675065
42,42,0,42,-19.776445,-6.3675065
43,43,0,43,-19.776447,-6.3675065
44,44,0,44,-19.776445,-6.3675065
45,45,0,45,-19.776445,-6.3675065
46,46,0,46,136.19414,-6.3675065
47,47,0,47,-19.776445,-6.3675065
48,48,0,48,-19.776445,-6.3675065
49,49,0,49,-19.776447,-6.3675065
50,50,0,50,107.41798,-6.3675065
51,51,0,51,-19.776447,-6.3675065
52,52,0,52,-19.776447,-6.3675065
53,53,0,53,97.04181,-6.3675065
54,54,0,54,46.88703,-6.3675065
55,55,0,55,-19.776445,-6.3675065
56,56,0,56,-19.776447,-6.3675065
57,57,0,57,-19.776445,-6.3675065
58,58,0,58,54.337738,-6.3675065
59,59,0,59,-19.776445,-6.3675065
60,60,0,60,-19.776445,-6.3675065
61,61,0,61,-19.776445,-6.3675065
62,62,0,62,-19.776445,-6.3675065
63,63,0,63,-19.776445,-6.3675065
64,64,0,64,-19.776445,-6.3675065
65,65,0,65,-19.776445,-6.3675065
66,66,0,66,-19.776445,-6.3675065
67,67,0,67,-19.776447,-6.3675065
68,68,0,68,-19.776447,-6.3675065
69,69,0,69,50.09131,-6.3675065
70,70,0,70,-19.776445,-6.3675065
71,71,0,71,-19.776445,-6.3675065
72,72,0,72,-19.776445,-6.3675065
73,73,0,73,-19.776447,-6.3675065
74,74,0,74,-19.776445,-6.3675065
75,75,0,75,-19.776445,-6.3675065
76,76,0,76,-19.776447,-6.3675065
77,77,0,77,-19.776447,-6.3675065
78,78,0,78,-19.776447,-6.3675065
79,79,0,79,-19.776447,-6.3675065
80,80,0,80,-19.776445,-6.3675065
81,81,0,81,-19.776447,-6.3675065
82,82,0,82,243.05357,-6.3675065
83,83,0,83,-19.776445,-6.3675065
84,84,0,84,-19.776447,-6.3675065
85,85,0,85,203.06992,-6.3675065
86,86,0,86,-19.776447,-6.3675065
87,87,0,87,-19.776445,-6.3675065
88,88,0,88,-19.776445,-6.3675065
89,89,0,89,-19.776445,-6.3675065
90,90,0,90,-19.776445,-6.3675065
91,91,0,91,-19.776447,-6.3675065
92,92,0,92,-19.776447,-6.3675065
93,93,0,93,-19.776445,-6.3675065
94,94,0,94,-19.776447,-6.3675065
95,95,0,95,65.257614,-6.3675065
96,96,0,96,-19.776447,-6.3675065
97,97,0,97,-19.776445,-6.3675065
98,98,0,98,-6.3750772,-6.3675065
99,99,0,99,-19.776447,-6.3675065
100,0,1,0,241.14091,16.122337
101,1,1,1,382.81482,16.122337
102,2,1,2,174.28769,16.122337
103,3,1,3,808.43396,16.122337
104,4,1,4,839.70123,16.122337
105,5,1,5,812.5334,16.122337
106,6,1,6,110.12487,16.122337
107,7,1,7,-27.976267,16.122337
108,8,1,8,-8.522744,16.122337
109,9,1,9,748.5203,16.122337
110,10,1,10,701.4978,16.122337
111,11,1,11,382.17935,16.122337
112,12,1,12,499.60382,16.122337
113,13,1,13,1288.8385,16.122337
114,14,1,14,362.70435,16.122337
115,15,1,15,210.30951,16.122337
116,16,1,16,329.1585,16.122337
117,17,1,17,358.47656,16.122337
118,18,1,18,832.0588,16.122337
119,19,1,19,467.35706,16.122337
120,20,1,20,999.43066,16.122337
121,21,1,21,542.90027,16.122337
122,22,1,22,235.50285,16.122337
123,23,1,23,-27.888264,16.122337
124,24,1,24,346.6272,16.122337
125,25,1,25,360.38773,16.122337
126,26,1,26,456.6697,16.122337
127,27,1,27,-27.976267,16.122337
128,28,1,28,-27.976267,16.122337
129,29,1,29,-27.976265,16.122337
130,30,1,30,90.83119,16.122337
131,31,1,31,837.15063,16.122337
132,32,1,32,-27.976267,16.122337
133,33,1,33,-27.976265,16.122337
134,34,1,34,319.4128,16.122337
135,35,1,35,-27.976265,16.122337
136,36,1,36,-27.976265,16.122337
137,37,1,37,-27.976265,16.122337
138,38,1,38,-27.976265,16.122337
139,39,1,39,-27.976265,16.122337
140,40,1,40,-27.976267,16.122337
141,41,1,41,120.3576,16.122337
142,42,1,42,-27.976267,16.122337
143,43,1,43,-27.976265,16.122337
144,44,1,44,-3.518735,16.122337
145,45,1,45,-27.976267,16.122337
146,46,1,46,365.2713,16.122337
147,47,1,47,-27.976267,16.122337
148,48,1,48,343.63177,16.122337
149,49,1,49,145.89436,16.122337
150,50,1,50,389.20193,16.122337
151,51,1,51,747.6537,16.122337
152,52,1,52,375.76755,16.122337
153,53,1,53,-27.976267,16.122337
154,54,1,54,-27.976267,16.122337
155,55,1,55,-27.976265,16.122337
156,56,1,56,215.63316,16.122337
157,57,1,57,-27.976265,16.122337
158,58,1,58,470.83237,16.122337
159,59,1,59,-27.976265,16.122337
160,60,1,60,-27.976267,16.122337
161,61,1,61,-8.755659,16.122337
162,62,1,62,-27.976265,16.122337
163,63,1,63,-27.976267,16.122337
164,64,1,64,-27.976267,16.122337
165,65,1,65,-27.976265,16.122337
166,66,1,66,-27.976265,16.122337
167,67,1,67,-27.976265,16.122337
168,68,1,68,-27.976265,16.122337
169,69,1,69,-27.976265,16.122337
170,70,1,70,383.29617,16.122337
171,71,1,71,243.13542,16.122337
172,72,1,72,-27.976154,16.122337
173,73,1,73,-27.976265,16.122337
174,74,1,74,253.45375,16.122337
175,75,1,75,554.1734,16.122337
176,76,1,76,833.8074,16.122337
177,77,1,77,739.69324,16.122337
178,78,1,78,90.676674,16.122337
179,79,1,79,-4.218428,16.122337
180,80,1,80,452.75464,16.122337
181,81,1,81,341.749,16.122337
182,82,1,82,1178.1401,16.122337
183,83,1,83,589.95447,16.122337
184,84,1,84,265.91763,16.122337
185,85,1,85,-27.976265,16.122337
186,86,1,86,488.1343,16.122337
187,87,1,87,-10.32878,16.122337
188,88,1,88,-27.976267,16.122337
189,89,1,89,-27.976267,16.122337
190,90,1,90,609.3517,16.122337
191,91,1,91,459.0894,16.122337
192,92,1,92,209.14038,16.122337
193,93,1,93,580.78534,16.122337
194,94,1,94,795.7021,16.122337
195,95,1,95,975.4902,16.122337
196,96,1,96,312.75906,16.122337
197,97,1,97,1284.1886,16.122337
198,98,1,98,438.50513,16.122337
199,99,1,99,284.60593,16.122337
200,0,2,0,112.84592,0.11200469
201,1,2,1,180.63373,0.11200469
202,2,2,2,95.85314,0.11200469
203,3,2,3,-20.666925,0.11200469
204,4,2,4,358.51434,0.11200469
205,5,2,5,-20.666925,0.11200469
206,6,2,6,-20.666925,0.11200469
207,7,2,7,-20.666925,0.11200469
208,8,2,8,-0.22285804,0.11200469
209,9,2,9,132.19432,0.11200469
210,10,2,10,44.633633,0.11200469
211,11,2,11,68.48644,0.11200469
212,12,2,12,217.91553,0.11200469
213,13,2,13,124.66069,0.11200469
214,14,2,14,700.69836,0.11200469
215,15,2,15,116.99695,0.11200469
216,16,2,16,229.50504,0.11200469
217,17,2,17,-20.666925,0.11200469
218,18,2,18,-6.9036293,0.11200469
219,19,2,19,-20.666927,0.11200469
220,20,2,20,337.4782,0.11200469
221,21,2,21,252.63821,0.11200469
222,22,2,22,67.08031,0.11200469
223,23,2,23,-0.15414482,0.11200469
224,24,2,24,298.13855,0.11200469
225,25,2,25,269.19778,0.11200469
226,26,2,26,-9.55854,0.11200469
227,27,2,27,310.96375,0.11200469
228,28,2,28,121.831856,0.11200469
229,29,2,29,88.110176,0.11200469
230,30,2,30,-20.666925,0.11200469
231,31,2,31,142.75002,0.11200469
232,32,2,32,268.8726,0.11200469
233,33,2,33,-11.349974,0.11200469
234,34,2,34,154.64996,0.11200469
235,35,2,35,267.58047,0.11200469
236,36,2,36,-20.666925,0.11200469
237,37,2,37,237.61293,0.11200469
238,38,2,38,-20.666927,0.11200469
239,39,2,39,-20.666925,0.11200469
240,40,2,40,202.91367,0.11200469
241,41,2,41,-20.666925,0.11200469
242,42,2,42,-20.666925,0.11200469
243,43,2,43,-0.3742146,0.11200469
244,44,2,44,80.17231,0.11200469
245,45,2,45,-20.666925,0.11200469
246,46,2,46,-0.16188501,0.11200469
247,47,2,47,-20.666927,0.11200469
248,48,2,48,-20.666925,0.11200469
249,49,2,49,-0.25609437,0.11200469
250,50,2,50,372.6712,0.11200469
251,51,2,51,201.05219,0.11200469
252,52,2,52,190.34135,0.11200469
253,53,2,53,80.14818,0.11200469
254,54,2,54,-20.666925,0.11200469
255,55,2,55,240.10004,0.11200469
256,56,2,56,-20.666925,0.11200469
257,57,2,57,-20.666925,0.11200469
258,58,2,58,-2.1692374,0.11200469
259,59,2,59,174.81439,0.11200469
260,60,2,60,-20.666927,0.11200469
261,61,2,61,-20.666927,0.11200469
262,62,2,62,-20.666925,0.11200469
263,63,2,63,-20.666927,0.11200469
264,64,2,64,-20.666927,0.11200469
265,65,2,65,212.17584,0.11200469
266,66,2,66,-20.666925,0.11200469
267,67,2,67,-20.666927,0.11200469
268,68,2,68,-20.666927,0.11200469
269,69,2,69,203.08728,0.11200469
