Frame,Position,Membrane signal,Cytoplasmic signal
0,0,54.591003,-6.3675065
0,1,35.408997,-6.3675065
0,2,-19.776436,-6.3675065
0,3,-19.776436,-6.3675065
0,4,-19.776436,-6.3675065
0,5,-19.776438,-6.3675065
0,6,-19.776438,-6.3675065
0,7,-19.776436,-6.3675065
0,8,-19.776436,-6.3675065
0,9,-19.776438,-6.3675065
0,10,20.615744,-6.3675065
0,11,398.5228,-6.3675065
0,12,-19.776436,-6.3675065
0,13,-19.776436,-6.3675065
0,14,-19.776438,-6.3675065
0,15,-19.776438,-6.3675065
0,16,-19.776436,-6.3675065
0,17,-19.776436,-6.3675065
0,18,-19.776438,-6.3675065
0,19,-19.776436,-6.3675065
0,20,-19.776436,-6.3675065
0,21,-19.776436,-6.3675065
0,22,-19.776438,-6.3675065
0,23,-19.776438,-6.3675065
0,24,-19.776436,-6.3675065
0,25,-19.776438,-6.3675065
0,26,-19.776436,-6.3675065
0,27,-19.776436,-6.3675065
0,28,-19.776436,-6.3675065
0,29,-19.776436,-6.3675065
0,30,319.53696,-6.3675065
0,31,-19.776438,-6.3675065
0,32,-19.776436,-6.3675065
0,33,-19.776436,-6.3675065
0,34,-19.776438,-6.3675065
0,35,-19.776436,-6.3675065
0,36,-19.776436,-6.3675065
0,37,-19.776436,-6.3675065
0,38,-19.776436,-6.3675065
0,39,-19.776438,-6.3675065
0,40,-19.776438,-6.3675065
0,41,-19.776438,-6.3675065
0,42,-19.776436,-6.3675065
0,43,-19.776436,-6.3675065
0,44,-19.776438,-6.3675065
0,45,-19.776438,-6.3675065
0,46,136.19406,-6.3675065
0,47,-19.776436,-6.3675065
0,48,-19.776436,-6.3675065
0,49,-19.776436,-6.3675065
0,50,107.417915,-6.3675065
0,51,-19.776438,-6.3675065
0,52,-19.776438,-6.3675065
0,53,97.04175,-6.3675065
0,54,46.886997,-6.3675065
0,55,-19.776436,-6.3675065
0,56,-19.776438,-6.3675065
0,57,-19.776436,-6.3675065
0,58,54.337708,-6.3675065
0,59,-19.776436,-6.3675065
0,60,-19.776436,-6.3675065
0,61,-19.776436,-6.3675065
0,62,-19.776438,-6.3675065
0,63,-19.776436,-6.3675065
0,64,-19.776438,-6.3675065
0,65,-19.776436,-6.3675065
0,66,-19.776436,-6.3675065
0,67,-19.776436,-6.3675065
0,68,-19.776438,-6.3675065
0,69,50.091305,-6.3675065
0,70,-19.776436,-6.3675065
0,71,-19.776438,-6.3675065
0,72,-19.776436,-6.3675065
0,73,-19.776436,-6.3675065
0,74,-19.776438,-6.3675065
0,75,-19.776436,-6.3675065
0,76,-19.776436,-6.3675065
0,77,-19.776438,-6.3675065
0,78,-19.776436,-6.3675065
0,79,-19.776438,-6.3675065
0,80,-19.776438,-6.3675065
0,81,-19.776438,-6.3675065
0,82,243.05347,-6.3675065
0,83,-19.776436,-6.3675065
0,84,-19.776438,-6.3675065
0,85,203.06984,-6.3675065
0,86,-19.776438,-6.3675065
0,87,-19.776438,-6.3675065
0,88,-19.776438,-6.3675065
0,89,-19.776438,-6.3675065
0,90,-19.776436,-6.3675065
0,91,-19.776436,-6.3675065
0,92,-19.776436,-6.3675065
0,93,-19.776436,-6.3675065
0,94,-19.776438,-6.3675065
0,95,65.257614,-6.3675065
0,96,-19.776436,-6.3675065
0,97,-19.776436,-6.3675065
0,98,-6.3750443,-6.3675065
0,99,-19.776438,-6.3675065
1,0,241.1409,16.122334
1,1,382.81467,16.122334
1,2,174.28761,16.122334
1,3,808.4336,16.122334
1,4,839.7008,16.122334
1,5,812.533,16.122334
1,6,110.12487,16.122334
1,7,-27.976254,16.122334
1,8,-8.52275,16.122334
1,9,748.52,16.122334
1,10,701.4975,16.122334
1,11,382.17914,16.122334
1,12,499.60364,16.122334
1,13,1288.8379,16.122334
1,14,362.70416,16.122334
1,15,210.3094,16.122334
1,16,329.1584,16.122334
1,17,358.4764,16.122334
1,18,832.0584,16.122334
1,19,467.35678,16.122334
1,20,999.4303,16.122334
1,21,542.89996,16.122334
1,22,235.50275,16.122334
1,23,-27.888248,16.122334
1,24,346.62708,16.122334
1,25,360.38754,16.122334
1,26,456.6695,16.122334
1,27,-27.976252,16.122334
1,28,-27.976252,16.122334
1,29,-27.976252,16.122334
1,30,90.83118,16.122334
1,31,837.1502,16.122334
1,32,-27.976254,16.122334
1,33,-27.976254,16.122334
1,34,319.41266,16.122334
1,35,-27.976252,16.122334
1,36,-27.976254,16.122334
1,37,-27.976254,16.122334
1,38,-27.976252,16.122334
1,39,-27.976252,16.122334
1,40,-27.976254,16.122334
1,41,120.357544,16.122334
1,42,-27.976254,16.122334
1,43,-27.976254,16.122334
1,44,-3.5187306,16.122334
1,45,-27.976254,16.122334
1,46,365.2711,16.122334
1,47,-27.976254,16.122334
1,48,343.63162,16.122334
1,49,145.89432,16.122334
1,50,389.2017,16.122334
1,51,747.6535,16.122334
1,52,375.76733,16.122334
1,53,-27.976254,16.122334
1,54,-27.976252,16.122334
1,55,-27.976252,16.122334
1,56,215.63313,16.122334
1,57,-27.976254,16.122334
1,58,470.83218,16.122334
1,59,-27.976254,16.122334
1,60,-27.976254,16.122334
1,61,-8.755667,16.122334
1,62,-27.976252,16.122334
1,63,-27.976254,16.122334
1,64,-27.976252,16.122334
1,65,-27.976254,16.122334
1,66,-27.976252,16.122334
1,67,-27.976252,16.122334
1,68,-27.976254,16.122334
1,69,-27.976254,16.122334
1,70,383.2961,16.122334
1,71,243.13531,16.122334
1,72,-27.976145,16.122334
1,73,-27.976252,16.122334
1,74,253.45363,16.122334
1,75,554.17334,16.122334
1,76,833.80695,16.122334
1,77,739.6928,16.122334
1,78,90.67662,16.122334
1,79,-4.2184224,16.122334
1,80,452.7545,16.122334
1,81,341.74884,16.122334
1,82,1178.1395,16.122334
1,83,589.95435,16.122334
1,84,265.9175,16.122334
1,85,-27.976254,16.122334
1,86,488.1341,16.122334
1,87,-10.328783,16.122334
1,88,-27.976254,16.122334
1,89,-27.976254,16.122334
1,90,609.3513,16.122334
1,91,459.0892,16.122334
1,92,209.14032,16.122334
1,93,580.785,16.122334
1,94,795.7019,16.122334
1,95,975.4898,16.122334
1,96,312.7589,16.122334
1,97,1284.188,16.122334
1,98,438.5049,16.122334
1,99,284.60583,16.122334
