EmbryoID,Path,Line,Condition,Cyt,Mem_tot,Mem_ant,Mem_post,ASI,Dosage,Total
0,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/10",n2,wt,-6.367506499999993,1.4465565300000012,-1.1501419215686264,3.210971196078431,2.1161933070289902,-108.0847094313068,-6.115805663779993
1,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/11",n2,wt,16.122337000000012,282.353339336,113.59381338431372,457.9729690392157,0.6025177918749623,57.15175189278107,65.251818044464
2,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/12",n2,wt,0.11200468999999975,127.98023499340005,74.95308356235294,182.7486750521569,0.41829590946274026,15.068714831143488,22.380565578851606
3,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/13",n2,wt,-5.516979699999991,-9.278979859999987,-14.849662392156864,-4.016378588235295,-0.5742213650007869,-154.42228678048494,-7.131522195639989
4,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/14",n2,wt,96.14681000000013,278.5721253313999,254.21457580392155,305.5090846498039,0.09164255948069414,186.18531037903773,144.6183598076637
5,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/01",nwg313,par2,342.0796799999997,1839.8186309999999,1653.2348470588233,2037.625525490196,0.10414663239235486,830.0047943910536,662.2081217939997
6,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/02",nwg313,par2,348.17544999999967,2015.6801259999993,1871.997609803922,2158.4666333333334,0.07107593722415166,865.8746523274384,698.9037919239995
7,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/03",nwg313,par2,324.6717500000005,1808.2922550000005,1962.5772509803924,1641.996854901961,-0.08893710786949059,806.5837590313919,639.3146023700006
8,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/04",nwg313,par2,328.65209999999956,1879.1272330000002,1829.9404529411763,1909.9489529411767,0.02139327967136075,820.15959322623,655.6202385419996
9,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/05",nwg313,par2,377.74413999999996,2283.327513000001,2014.5437313725492,2534.8242862745096,0.11436325944258306,965.0193464078951,775.0431272620001
10,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/06",nwg313,par2,318.0404999999994,2573.0734939999993,2302.901805882353,2841.526327450981,0.10470056294082702,928.3283478966354,765.7552879559992
11,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/07",nwg313,par2,309.29330000000044,2255.710486,2028.012382352941,2471.2720921568625,0.09851782262605538,850.0872483840284,701.7869245640004
12,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par6_tom4,15,60,eb,beads/05",nwg313,par6,241.4383899999996,1589.2992860000004,1375.4292882352945,1804.748007843137,0.13499836004025556,646.3415308418165,517.9764657639996
13,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par6_tom4,15,60,eb,beads/06",nwg313,par6,357.1463299999999,1934.4061190999998,1687.3256550980393,2166.608364705882,0.12436193955189392,879.7081186117261,693.7329947233999
14,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par6_tom4,15,60,eb,beads/07",nwg313,par6,265.1254000000005,1818.9634520000004,1536.2881843137252,2092.923560784314,0.15337638461642084,710.3554821971912,581.6250406480005
15,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par6_tom4,15,60,eb,beads/08",nwg313,par6,261.65484999999984,1799.6560359999994,1406.5363764705883,2172.5670549019605,0.21402865078353087,705.7024699166672,574.7950002639998
16,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_par6_tom4,15,60,eb,beads/09",nwg313,par6,259.2866199999998,1334.8772244999998,1179.8851625490197,1494.0268168627451,0.11748391747092347,629.3130439797886,491.5552570629998
17,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_wt_tom4,15,60,eb,20beads/00",nwg313,wt,233.15139999999985,1380.4989491000003,977.2025178431373,1791.6474470588237,0.29414556207075815,584.348488199339,473.3582171433999
18,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_wt_tom4,15,60,eb,20beads/01",nwg313,wt,223.58548000000027,1508.7152849000006,1099.612939019608,1924.2321000000002,0.27270549592969573,601.5014462949886,486.1019395726004
19,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_wt_tom4,15,60,eb,20beads/02 bright polar body",nwg313,wt,261.0770300000003,1785.5351204,1207.2394596078432,2358.8744352941176,0.32293836081136584,704.2225476260066,571.7601409496003
20,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_wt_tom4,15,60,eb,20beads/03",nwg313,wt,293.3535999999995,1352.2274183000002,800.338073137255,1899.587690980392,0.4071406823299747,674.9644306690132,528.6411707841995
21,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/201111_nwg313_wt_tom4,15,60,eb,20beads/04",nwg313,wt,263.76492000000036,1256.4363528000003,819.8472447058823,1692.5062862745099,0.3473472307172037,607.6124667312575,482.3848453872004
22,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/210701_nwg373_wt_tom4,15,60/00",nwg373,wt,323.3111600000004,1236.6281096000002,1136.8254780392156,1323.4971615686275,0.07587284713161277,727.8055813755644,538.4844510704005
23,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/210701_nwg373_wt_tom4,15,60/01",nwg373,wt,294.13349999999997,872.7430038,648.3378849019607,1096.8393392156863,0.25699479005089915,607.1081752678439,445.9907826612
24,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/210722_n2_tom4,15,60/00",n2,"tom4,15,60",-0.9955731600000018,173.9298896871001,227.65966949784314,124.66282649647059,-0.2923368339302264,12.327696369442476,29.26822764555541
25,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/210722_n2_tom4,15,60/01",n2,"tom4,15,60",-1.826216799999998,175.98897051819998,207.72773703784316,139.47645656647057,-0.19657389434977324,22.735584312097203,28.795864070166797
26,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/210722_n2_tom4,15,60/02",n2,"tom4,15,60",-5.983225299999998,26.03369290000002,6.140317058823531,46.75443392156863,0.767828869783328,-30.140101210071556,-1.4533627353999954
27,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/210816_nwg373_wt_tom4,15,60/00",nwg373,wt,316.6063199999997,1042.9691051999996,698.3716425490196,1377.0349774509803,0.32700258752280587,671.0833269887911,498.08294430479964
28,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/210816_nwg373_wt_tom4,15,60/01",nwg373,wt,270.5416599999998,1472.7453268000004,1270.6202680392155,1673.98809627451,0.1369852212347784,685.4561736323737,526.7993468631998
29,"/Users/blandt/Desktop/PaperData/Imaging/RING PH/210816_nwg373_wt_tom4,15,60/02",nwg373,wt,345.4792799999996,1196.3843032,865.613151764706,1516.2046929411765,0.2731491590016232,762.6308167541712,553.6501487567996
