,EmbryoID,Position,Membrane signal,Cytoplasmic signal
78,1,78,90.67774,16.122337
79,1,79,-4.218478,16.122337
80,1,80,452.76,16.122337
81,1,81,341.75302,16.122337
82,1,82,1178.154,16.122337
83,1,83,589.9615,16.122337
84,1,84,265.92078,16.122337
85,1,85,-27.976595,16.122337
86,1,86,488.14008,16.122337
87,1,87,-10.328902,16.122337
88,1,88,-27.976597,16.122337
89,1,89,-27.976597,16.122337
90,1,90,609.3589,16.122337
91,1,91,459.09482,16.122337
92,1,92,209.14285,16.122337
93,1,93,580.7922,16.122337
94,1,94,795.7115,16.122337
95,1,95,975.5017,16.122337
96,1,96,312.76276,16.122337
97,1,97,1284.2037,16.122337
98,1,98,438.5103,16.122337
99,1,99,284.6093,16.122337
0,2,0,112.84725,0.11200469
1,2,1,180.63586,0.11200469
2,2,2,95.85427,0.11200469
3,2,3,-20.66717,0.11200469
4,2,4,358.5186,0.11200469
5,2,5,-20.66717,0.11200469
6,2,6,-20.66717,0.11200469
7,2,7,-20.66717,0.11200469
8,2,8,-0.22286068,0.11200469
9,2,9,132.19589,0.11200469
10,2,10,44.63416,0.11200469
11,2,11,68.48725,0.11200469
12,2,12,217.9181,0.11200469
13,2,13,124.66217,0.11200469
14,2,14,700.70667,0.11200469
15,2,15,116.99833,0.11200469
16,2,16,229.50775,0.11200469
17,2,17,-20.66717,0.11200469
18,2,18,-6.903711,0.11200469
19,2,19,-20.667171,0.11200469
20,2,20,337.48218,0.11200469
21,2,21,252.6412,0.11200469
22,2,22,67.0811,0.11200469
23,2,23,-0.15414666,0.11200469
24,2,24,298.1421,0.11200469
25,2,25,269.20096,0.11200469
26,2,26,-9.558654,0.11200469
27,2,27,310.9674,0.11200469
28,2,28,121.8333,0.11200469
29,2,29,88.11122,0.11200469
30,2,30,-20.66717,0.11200469
31,2,31,142.7517,0.11200469
32,2,32,268.87576,0.11200469
33,2,33,-11.350108,0.11200469
34,2,34,154.6518,0.11200469
35,2,35,267.58362,0.11200469
36,2,36,-20.66717,0.11200469
37,2,37,237.61574,0.11200469
38,2,38,-20.667171,0.11200469
39,2,39,-20.66717,0.11200469
40,2,40,202.91606,0.11200469
41,2,41,-20.66717,0.11200469
42,2,42,-20.66717,0.11200469
43,2,43,-0.374219,0.11200469
44,2,44,80.173256,0.11200469
45,2,45,-20.66717,0.11200469
46,2,46,-0.16188692,0.11200469
47,2,47,-20.667171,0.11200469
48,2,48,-20.66717,0.11200469
49,2,49,-0.2560974,0.11200469
50,2,50,372.6756,0.11200469
51,2,51,201.05455,0.11200469
